Theta1,Theta2,Theta3
100.46,-13.55,-14.39
100.62,1,-30.39
91.29,1.62,-31
92.23,-7.7,-21.22
100.46,-14.51,-15.71
100.62,-0.11,-31.81
91.29,0.5,-32.43
92.23,-8.73,-22.57
100.46,-15.58,-16.92
100.62,-1.36,-33.13
91.29,-0.75,-33.75
92.23,-9.88,-23.81
100.46,-16.75,-18.02
100.62,-2.74,-34.34
91.29,-2.14,-34.96
92.23,-11.14,-24.95
100.46,-18.02,-19.02
100.62,-4.26,-35.43
91.29,-3.66,-36.07
92.23,-12.51,-25.97
100.46,-19.4,-19.9
100.62,-5.91,-36.41
91.29,-5.33,-37.05
92.23,-13.99,-26.89
100.46,-20.87,-20.68
100.62,-7.69,-37.27
91.29,-7.12,-37.92
92.23,-15.58,-27.69
100.46,-22.43,-21.34
100.62,-9.6,-38.02
91.29,-9.05,-38.67
92.23,-17.28,-28.37
100.46,-24.09,-21.89
100.62,-11.63,-38.64
91.29,-11.1,-39.29
92.23,-19.08,-28.95
100.46,-25.84,-22.33
100.62,-13.79,-39.13
91.29,-13.28,-39.79
92.23,-20.97,-29.4
100.46,-27.67,-22.66
100.62,-16.06,-39.5
91.29,-15.57,-40.16
92.23,-22.96,-29.74
100.46,-29.58,-22.87
100.62,-18.43,-39.74
91.29,-17.97,-40.4
92.23,-25.04,-29.96
100.46,-31.56,-22.97
100.62,-20.9,-39.85
91.29,-20.46,-40.51
92.23,-27.2,-30.06
100.46,-33.61,-22.95
100.62,-23.46,-39.83
91.29,-23.05,-40.49
92.23,-29.43,-30.04
100.46,-35.73,-22.82
100.62,-26.1,-39.68
91.29,-25.71,-40.34
92.23,-31.74,-29.91
100.46,-37.91,-22.57
100.62,-28.81,-39.4
91.29,-28.45,-40.06
92.23,-34.1,-29.65
100.46,-40.15,-22.21
100.62,-31.57,-39
91.29,-31.24,-39.65
92.23,-36.52,-29.28
100.46,-42.43,-21.74
100.62,-34.38,-38.46
91.29,-34.07,-39.12
92.23,-38.99,-28.79
100.46,-44.75,-21.16
100.62,-37.22,-37.81
91.29,-36.94,-38.46
92.23,-41.5,-28.18
100.46,-47.12,-20.46
100.62,-40.09,-37.03
91.29,-39.84,-37.67
92.23,-44.05,-27.46
